	BIEO	IOB2
Between	O	O
1998	O	O
2011	O	O
incidence	O	O
OPSCC	O	O
non-OPSCC	O	O
increased	O	O
.	O	O
		
An	O	O
increase	O	O
HPV	B-virus	B-virus
prevalence	O	O
(	O	O
%	O	O
HPV+	B-virus	B-virus
cases	O	O
2004-2006	O	O
versus	O	O
2012-2013	O	O
:	O	O
27	O	O
%	O	O
versus	O	O
59	O	O
%	O	O
,	O	O
P=0.0004	O	O
)	O	O
accompanied	O	O
moderate	O	O
decrease	O	O
portion	O	O
current	O	O
smokers	O	O
observed	O	O
OPSCC	O	O
non-OPSCC	O	O
.	O	O
		
The	O	O
change	O	O
disease	O	O
epidemiology	O	O
OPSCC	O	O
associated	O	O
significant	O	O
improvement	O	O
overall	O	O
survival	O	O
.	O	O
		
Increased	O	O
HPV	B-virus	B-virus
prevalence	O	O
OPSCC	O	O
(	O	O
48	O	O
%	O	O
)	O	O
compared	O	O
non-OPSCC	O	O
(	O	O
11	O	O
%	O	O
)	O	O
confirmed	O	O
cohort	O	O
2	O	O
.	O	O
