token	BIEO	IOB2
Cytological	O	O
samples	O	O
(	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
detection	O	O
)	O	O
laryngeal	O	O
secretions	O	O
(	O	O
immunoglobulin	O	O
assessment	O	O
)	O	O
obtained	O	O
31	O	O
patients	O	O
laryngeal	O	O
disease	O	O
,	O	O
microscopic	O	O
laryngeal	O	O
surgery	O	O
.	O	O
		
On	O	O
histological	O	O
examination	O	O
,	O	O
12	O	O
patients	O	O
squamous	O	O
cell	O	O
carcinoma	O	O
,	O	O
four	O	O
laryngeal	O	O
papilloma	O	O
15	O	O
benign	O	O
laryngeal	O	O
disease	O	O
.	O	O
		
Cytological	O	O
samples	O	O
tested	O	O
human	B-virus	B-virus
papilloma	I-virus	I-virus
virus	E-virus	I-virus
DNA	O	O
using	O	O
Hybrid	O	O
Capture	O	O
2	O	O
assay	O	O
.	O	O
